成交编号,城市,区域,楼盘名称,户型,套内面积(㎡),建筑面积(㎡),建筑年代,朝向,楼层信息,装修情况,物业类型,产权年限,成交总价(万元),挂牌总价(万元),成交单价(元/㎡),带看次数,调价次数,成交周期(天)
HZ009318,杭州,拱墅区,保利小区86号,1室1厅,68.83,85.54,2021.0,西,低楼层,精装,洋房,70,338.75,349.87,49215.0,31,5.0,169.0
HZ009319,杭州,拱墅区,万科小区73号,2室2厅,138.7,169.47,2023.0,西南,顶楼,毛坯,别墅,70,659.9,681.86,47578.0,0,,31.0
HZ009320,杭州,临平区,金地小区37号,2室1厅,53.84,66.43,1998.0,南,高楼层,精装,公寓,70,113.44,121.31,21070.0,38,5.0,63.0
HZ009321,杭州,富阳区,金地小区94号,5室2厅,178.48,205.87,2021.0,南,中楼层,毛坯,别墅,40,324.72,344.89,18194.0,29,4.0,147.0
HZ009322,杭州,临安区,金地小区46号,1室1厅,125.28,153.42,2003.0,南,中楼层,豪装,住宅,70,188.4,194.68,15038.0,5,3.0,18.0
HZ009323,杭州,拱墅区,万科小区40号,2室1厅,167.79,199.95,1993.0,南,低楼层,简装,洋房,40,800.55,858.36,47711.0,13,,80.0
HZ009324,杭州,临平区,华润小区81号,4室2厅,173.45,201.87,2009.0,西,中楼层,豪装,别墅,70,374.96,388.59,21618.0,2,6.0,68.0
HZ009325,杭州,临平区,保利小区32号,5室2厅,120.02,146.58,2007.0,南北通透,高楼层,简装,公寓,70,275.01,283.49,22914.0,23,6.0,114.0
HZ009326,杭州,桐庐县,金地小区93号,5室2厅,139.76,158.36,2024.0,西南,低楼层,精装,住宅,70,167.2,175.31,11963.0,15,6.0,107.0
HZ009327,杭州,临平区,绿城小区11号,1室1厅,142.4,176.88,2010.0,东,低楼层,毛坯,洋房,40,313.91,331.56,22044.0,22,,5.0
HZ009328,杭州,西湖区,华润小区20号,3室2厅,104.76,122.5,2024.0,北,低楼层,毛坯,公寓,40,545.41,574.44,52063.0,34,,33.0
HZ009329,杭州,淳安县,保利小区92号,4室2厅,100.7,123.59,2011.0,西南,高楼层,简装,公寓,40,99.71,106.06,9902.0,20,1.0,99.0
HZ009330,杭州,临平区,绿城小区71号,3室2厅,61.42,69.82,2021.0,南北通透,中楼层,精装,住宅,40,140.23,149.27,22831.0,3,6.0,172.0
HZ009331,杭州,上城区,万科小区22号,4室2厅,92.66,114.35,1993.0,西南,中楼层,简装,洋房,40,515.13,534.52,55594.0,21,,149.0
HZ009332,杭州,临安区,绿城小区43号,5室2厅,188.54,222.8,2015.0,西,低楼层,豪装,住宅,40,278.99,,14797.0,14,1.0,116.0
HZ009333,杭州,上城区,绿城小区94号,5室2厅,74.64,85.16,2005.0,,高楼层,毛坯,公寓,70,418.29,435.37,56041.0,26,,132.0
HZ009334,杭州,萧山区,保利小区95号,2室2厅,152.47,181.47,2024.0,,顶楼,简装,公寓,40,475.18,,31165.0,36,3.0,101.0
HZ009335,杭州,拱墅区,保利小区63号,2室2厅,41.38,45.98,2005.0,西南,高楼层,简装,别墅,40,188.09,200.91,45454.0,2,4.0,131.0
HZ009336,杭州,富阳区,绿城小区64号,4室2厅,,122.16,2006.0,西南,低楼层,简装,洋房,70,195.59,209.68,18476.0,15,,123.0
HZ009337,杭州,临平区,绿城小区30号,5室2厅,41.23,48.63,1998.0,北,高楼层,毛坯,住宅,70,94.67,99.93,22961.0,27,4.0,130.0
HZ009338,杭州,滨江区,保利小区22号,4室2厅,107.18,126.36,2004.0,北,顶楼,毛坯,公寓,40,477.51,501.35,44552.0,36,6.0,141.0
HZ009339,杭州,滨江区,保利小区49号,2室1厅,36.35,43.33,2017.0,北,高楼层,简装,公寓,70,170.26,173.31,46839.0,38,2.0,101.0
HZ009340,杭州,拱墅区,金地小区98号,2室2厅,128.9,142.63,2011.0,东南,低楼层,豪装,住宅,70,626.85,636.04,48631.0,36,2.0,77.0
HZ009341,杭州,萧山区,金地小区91号,5室2厅,124.67,151.47,2019.0,西,高楼层,豪装,别墅,40,390.83,,31349.0,13,0.0,139.0
HZ009342,杭州,滨江区,万科小区19号,2室1厅,158.06,176.08,1999.0,南,中楼层,,别墅,40,713.31,751.21,45129.0,21,2.0,32.0
HZ009343,杭州,淳安县,绿城小区25号,3室2厅,124.16,154.1,2009.0,西南,顶楼,毛坯,住宅,40,133.43,140.86,10747.0,8,2.0,131.0
HZ009344,杭州,建德市,万科小区40号,2室2厅,178.31,210.8,1991.0,东,低楼层,毛坯,洋房,70,163.63,170.94,9177.0,11,,74.0
HZ009345,杭州,上城区,万科小区44号,2室1厅,155.73,194.2,1995.0,西,低楼层,精装,公寓,70,864.16,930.51,55491.0,0,0.0,99.0
HZ009346,杭州,淳安县,绿城小区24号,1室1厅,52.96,59.7,1992.0,东,低楼层,简装,别墅,40,60.42,64.08,11409.0,19,3.0,6.0
HZ009347,杭州,钱塘区,华润小区53号,3室2厅,73.94,89.94,,东,高楼层,精装,公寓,70,142.35,153.35,19252.0,5,4.0,177.0
HZ009348,杭州,西湖区,万科小区74号,2室2厅,,42.91,2018.0,东南,高楼层,精装,公寓,70,194.55,196.55,53832.0,11,0.0,76.0
HZ009349,杭州,余杭区,金地小区69号,1室1厅,93.01,113.97,2024.0,南,顶楼,豪装,公寓,70,261.54,276.56,28120.0,23,5.0,27.0
HZ009350,杭州,滨江区,金地小区25号,4室2厅,112.51,124.63,1997.0,东,高楼层,毛坯,公寓,40,519.03,,46132.0,4,4.0,157.0
HZ009351,杭州,富阳区,华润小区95号,1室1厅,181.46,209.55,2023.0,西南,中楼层,豪装,公寓,70,316.99,341.06,17469.0,20,6.0,59.0
HZ009352,杭州,临平区,金地小区45号,4室2厅,114.52,137.3,1994.0,西南,中楼层,精装,别墅,40,262.18,266.13,22894.0,33,1.0,158.0
HZ009353,杭州,富阳区,万科小区55号,4室2厅,155.4,177.65,2023.0,西,顶楼,毛坯,别墅,70,286.17,290.93,18415.0,38,3.0,93.0
HZ009354,杭州,临安区,万科小区55号,4室2厅,74.35,91.92,1998.0,南,中楼层,简装,住宅,40,110.56,112.39,14870.0,21,0.0,130.0
HZ009355,杭州,西湖区,绿城小区59号,4室2厅,,68.33,2006.0,东,中楼层,精装,公寓,70,300.93,307.46,53546.0,20,7.0,87.0
HZ009356,杭州,上城区,绿城小区79号,3室2厅,160.11,185.05,1990.0,东,低楼层,精装,别墅,40,895.9,909.67,55955.0,7,0.0,23.0
HZ009357,杭州,萧山区,保利小区12号,5室2厅,71.09,79.8,2017.0,北,中楼层,毛坯,洋房,40,236.95,247.79,33331.0,28,,75.0
HZ009358,杭州,西湖区,金地小区21号,4室2厅,169.67,203.7,2016.0,南,中楼层,精装,别墅,70,877.33,893.07,51708.0,34,3.0,138.0
HZ009359,杭州,余杭区,万科小区30号,4室2厅,58.84,71.07,2014.0,南北通透,中楼层,简装,洋房,70,165.74,168.26,28168.0,18,7.0,25.0
HZ009360,杭州,钱塘区,绿城小区53号,4室2厅,166.55,190.04,2012.0,北,高楼层,毛坯,洋房,40,332.47,336.51,19962.0,27,4.0,94.0
HZ009361,杭州,桐庐县,绿城小区76号,2室2厅,154.11,171.57,1995.0,南,高楼层,简装,住宅,70,177.2,186.41,11498.0,27,3.0,172.0
HZ009362,杭州,建德市,金地小区34号,5室2厅,128.57,143.99,2013.0,西南,顶楼,简装,洋房,70,123.25,131.89,9586.0,15,1.0,
HZ009363,杭州,滨江区,华润小区90号,2室1厅,166.33,204.86,2000.0,北,中楼层,毛坯,住宅,40,749.79,794.13,45078.0,1,7.0,48.0
HZ009364,杭州,萧山区,保利小区13号,1室1厅,,97.45,2024.0,西南,中楼层,毛坯,别墅,70,268.49,282.56,31868.0,33,4.0,137.0
HZ009365,杭州,萧山区,保利小区59号,1室1厅,58.23,71.04,2006.0,西,低楼层,毛坯,洋房,70,188.24,191.28,32327.0,16,5.0,61.0
HZ009366,杭州,滨江区,华润小区23号,2室1厅,56.81,65.89,2003.0,西,中楼层,毛坯,洋房,70,250.55,262.43,44103.0,1,,7.0
HZ009367,杭州,滨江区,金地小区61号,3室2厅,74.72,90.77,2011.0,东,低楼层,精装,洋房,40,330.05,344.13,44172.0,39,2.0,124.0
HZ009368,杭州,滨江区,绿城小区31号,4室2厅,102.5,125.67,2015.0,西南,低楼层,毛坯,洋房,70,457.91,493.29,44674.0,17,6.0,81.0
HZ009369,杭州,滨江区,绿城小区89号,5室2厅,170.41,195.84,2017.0,西,低楼层,简装,别墅,40,768.33,820.0,45087.0,5,6.0,115.0
HZ009370,杭州,滨江区,华润小区85号,5室2厅,46.15,57.66,2023.0,西,中楼层,豪装,住宅,40,206.41,210.34,44726.0,4,2.0,60.0
HZ009371,杭州,萧山区,万科小区39号,2室2厅,176.61,198.93,2023.0,北,中楼层,毛坯,洋房,70,562.58,,31854.0,35,5.0,133.0
HZ009372,杭州,拱墅区,华润小区81号,1室1厅,178.23,211.1,1999.0,西南,低楼层,豪装,别墅,40,859.56,,48228.0,16,1.0,134.0
HZ009373,杭州,拱墅区,华润小区59号,2室1厅,146.9,176.25,2002.0,西,高楼层,精装,别墅,40,707.8,724.81,48182.0,22,1.0,49.0
HZ009374,杭州,富阳区,保利小区92号,4室2厅,174.24,195.69,2024.0,东,低楼层,精装,住宅,70,316.35,339.43,18156.0,19,,
HZ009375,杭州,拱墅区,保利小区35号,1室1厅,153.66,169.8,2010.0,西,高楼层,简装,洋房,40,737.11,795.03,47970.0,30,3.0,132.0
HZ009376,杭州,余杭区,万科小区14号,1室1厅,115.47,129.08,2010.0,西,低楼层,豪装,公寓,40,319.03,328.35,27629.0,4,5.0,174.0
HZ009377,杭州,拱墅区,华润小区34号,1室1厅,126.92,142.38,1992.0,南,顶楼,简装,洋房,70,601.67,615.04,47405.0,28,3.0,65.0
HZ009378,杭州,萧山区,万科小区83号,4室2厅,131.26,156.94,1996.0,西南,高楼层,精装,洋房,70,418.09,424.08,31852.0,12,4.0,129.0
HZ009379,杭州,滨江区,保利小区12号,3室2厅,52.05,64.84,1999.0,东,中楼层,毛坯,住宅,40,234.89,240.07,45128.0,36,2.0,103.0
HZ009380,杭州,淳安县,保利小区93号,2室1厅,62.5,73.39,2015.0,东南,低楼层,精装,住宅,70,73.97,77.87,11835.0,5,4.0,133.0
HZ009381,杭州,临平区,保利小区63号,5室2厅,114.69,139.82,2015.0,西南,低楼层,豪装,别墅,70,250.59,267.84,21849.0,18,5.0,104.0
HZ009382,杭州,临平区,万科小区50号,5室2厅,50.21,56.02,1998.0,东,高楼层,精装,公寓,70,103.37,104.81,20588.0,13,3.0,40.0
HZ009383,杭州,建德市,华润小区20号,5室2厅,184.47,212.67,2013.0,南北通透,低楼层,毛坯,住宅,70,176.34,186.61,9559.0,21,6.0,92.0
HZ009384,杭州,余杭区,绿城小区22号,2室1厅,112.13,125.98,1995.0,南,高楼层,毛坯,住宅,70,315.2,325.76,28110.0,1,0.0,177.0
HZ009385,杭州,临安区,金地小区76号,1室1厅,92.05,110.74,2004.0,西南,高楼层,豪装,别墅,70,142.87,150.68,15521.0,30,1.0,37.0
HZ009386,杭州,萧山区,金地小区24号,5室2厅,56.89,70.76,1995.0,南,顶楼,简装,洋房,70,174.11,177.85,30605.0,9,7.0,76.0
HZ009387,杭州,上城区,金地小区27号,5室2厅,97.81,112.4,2017.0,南北通透,低楼层,毛坯,洋房,70,554.67,561.54,56709.0,20,3.0,61.0
HZ009388,杭州,淳安县,华润小区73号,3室2厅,79.78,91.44,1997.0,南,低楼层,精装,别墅,40,80.85,83.11,10134.0,3,2.0,101.0
HZ009389,杭州,西湖区,金地小区80号,3室2厅,45.89,53.49,1990.0,东,顶楼,精装,别墅,70,234.36,244.89,51070.0,1,3.0,79.0
HZ009390,杭州,富阳区,保利小区25号,4室2厅,184.79,206.18,2008.0,东,顶楼,豪装,洋房,70,338.77,356.69,18333.0,23,4.0,45.0
HZ009391,杭州,上城区,金地小区14号,2室1厅,73.87,89.68,1999.0,东南,中楼层,简装,别墅,70,410.78,443.06,55609.0,12,,144.0
HZ009392,杭州,萧山区,保利小区41号,5室2厅,141.09,174.56,1996.0,南,中楼层,精装,别墅,40,450.63,474.7,31939.0,37,3.0,159.0
HZ009393,杭州,拱墅区,保利小区78号,1室1厅,46.43,51.7,2021.0,北,中楼层,毛坯,公寓,70,225.24,229.85,48512.0,15,3.0,69.0
HZ009394,杭州,滨江区,华润小区47号,1室1厅,176.28,203.42,2000.0,南北通透,高楼层,简装,公寓,70,800.42,813.54,45406.0,1,,101.0
HZ009395,杭州,桐庐县,万科小区23号,3室2厅,125.34,154.26,2002.0,南北通透,中楼层,豪装,洋房,40,149.88,156.98,11958.0,31,5.0,19.0
HZ009396,杭州,上城区,万科小区48号,2室2厅,135.79,152.51,2021.0,南,高楼层,精装,住宅,40,761.08,804.54,56048.0,29,0.0,18.0
HZ009397,杭州,西湖区,绿城小区99号,4室2厅,155.52,187.11,2009.0,南,顶楼,毛坯,住宅,40,807.68,,51934.0,20,,158.0
HZ009398,杭州,临安区,保利小区58号,3室2厅,127.73,144.22,2014.0,西,中楼层,毛坯,公寓,40,183.24,185.19,14346.0,31,7.0,132.0
HZ009399,杭州,临平区,绿城小区45号,4室2厅,43.2,52.24,1994.0,北,高楼层,精装,住宅,40,102.75,107.96,23785.0,10,1.0,138.0
HZ009400,杭州,临安区,保利小区62号,3室2厅,99.87,119.66,2017.0,东南,高楼层,豪装,洋房,70,132.24,142.58,13241.0,33,3.0,150.0
HZ009401,杭州,西湖区,万科小区77号,3室2厅,73.4,91.24,1996.0,,中楼层,毛坯,洋房,40,383.49,400.19,52247.0,5,4.0,127.0
HZ009402,杭州,滨江区,保利小区19号,5室2厅,108.9,128.87,2012.0,西,中楼层,精装,公寓,40,496.93,511.17,45632.0,37,,47.0
HZ009403,杭州,拱墅区,华润小区49号,3室2厅,95.88,112.03,2011.0,西,高楼层,精装,公寓,40,468.02,496.59,48813.0,7,3.0,6.0
HZ009404,杭州,西湖区,保利小区62号,2室2厅,162.59,191.46,1993.0,,中楼层,精装,住宅,70,840.49,879.46,51694.0,8,2.0,
HZ009405,杭州,富阳区,万科小区13号,2室1厅,71.03,84.52,2012.0,东南,高楼层,精装,公寓,40,130.25,135.06,18337.0,33,4.0,126.0
HZ009406,杭州,西湖区,保利小区51号,1室1厅,63.81,79.42,2024.0,东,顶楼,豪装,别墅,70,326.61,,51185.0,14,1.0,161.0
HZ009407,杭州,桐庐县,绿城小区21号,4室2厅,183.38,203.34,2008.0,西,中楼层,豪装,别墅,70,215.93,224.43,11775.0,28,5.0,130.0
HZ009408,杭州,萧山区,绿城小区77号,3室2厅,182.02,216.2,2005.0,东,低楼层,简装,别墅,70,589.32,633.79,32377.0,30,1.0,80.0
HZ009409,杭州,拱墅区,金地小区86号,1室1厅,188.97,222.28,1994.0,,低楼层,精装,洋房,40,907.52,947.11,48025.0,10,4.0,83.0
HZ009410,杭州,滨江区,万科小区56号,3室2厅,121.8,151.67,1998.0,西南,低楼层,豪装,别墅,70,549.67,586.87,45129.0,3,3.0,123.0
HZ009411,杭州,淳安县,万科小区22号,2室1厅,49.88,60.74,2022.0,南,低楼层,毛坯,公寓,40,60.01,61.11,12031.0,31,7.0,85.0
HZ009412,杭州,建德市,保利小区52号,2室1厅,171.07,210.6,2008.0,北,中楼层,精装,住宅,70,177.48,183.4,10375.0,16,4.0,77.0
HZ009413,杭州,临平区,保利小区25号,2室1厅,54.93,61.05,2017.0,东南,顶楼,豪装,别墅,40,119.76,124.63,21802.0,17,4.0,61.0
HZ009414,杭州,临平区,绿城小区83号,3室2厅,56.58,69.5,2023.0,西,低楼层,豪装,别墅,70,114.49,115.9,20235.0,10,1.0,
HZ009415,杭州,淳安县,绿城小区84号,1室1厅,62.56,75.9,2008.0,东南,高楼层,豪装,别墅,70,67.04,69.87,10716.0,26,3.0,106.0
HZ009416,杭州,西湖区,万科小区39号,2室1厅,135.24,158.92,1997.0,西,顶楼,精装,别墅,70,706.96,722.17,52274.0,4,6.0,148.0
HZ009417,杭州,萧山区,万科小区45号,5室2厅,48.94,56.17,2018.0,北,顶楼,精装,公寓,70,147.22,155.21,30082.0,8,7.0,
HZ009418,杭州,上城区,保利小区80号,4室2厅,154.97,178.68,1995.0,西南,中楼层,豪装,公寓,40,864.87,886.62,55809.0,5,5.0,14.0
HZ009419,杭州,临安区,金地小区20号,2室2厅,41.2,49.34,1995.0,西南,中楼层,精装,住宅,40,59.35,62.43,14405.0,35,3.0,
HZ009420,杭州,临安区,金地小区83号,2室2厅,49.45,55.11,2001.0,东,顶楼,毛坯,住宅,40,75.6,80.51,15288.0,2,4.0,7.0
HZ009421,杭州,临安区,金地小区48号,2室2厅,,114.38,1999.0,南,高楼层,毛坯,住宅,70,147.14,157.37,14619.0,5,5.0,21.0
HZ009422,杭州,桐庐县,金地小区94号,2室2厅,91.91,110.23,1990.0,南,顶楼,豪装,别墅,70,110.56,112.91,12029.0,10,6.0,24.0
HZ009423,杭州,上城区,保利小区22号,2室2厅,188.37,215.58,2000.0,东,高楼层,简装,公寓,40,1047.98,1119.79,55634.0,6,3.0,153.0
HZ009424,杭州,萧山区,华润小区15号,2室2厅,184.76,225.12,1990.0,西南,低楼层,精装,别墅,70,594.1,612.88,32155.0,19,4.0,69.0
HZ009425,杭州,建德市,保利小区63号,3室2厅,61.97,75.01,2021.0,南北通透,低楼层,简装,洋房,40,64.53,68.26,10413.0,29,6.0,74.0
HZ009426,杭州,临安区,万科小区94号,1室1厅,181.57,213.44,2005.0,北,顶楼,精装,住宅,40,292.53,311.58,16111.0,31,7.0,167.0
HZ009427,杭州,富阳区,保利小区44号,4室2厅,141.38,172.26,2024.0,西南,顶楼,精装,洋房,40,248.44,261.18,17572.0,18,2.0,16.0
HZ009428,杭州,上城区,万科小区27号,1室1厅,96.6,108.59,1992.0,,高楼层,精装,公寓,70,538.48,569.53,55743.0,31,7.0,162.0
HZ009429,杭州,上城区,万科小区22号,4室2厅,148.86,181.93,2022.0,南北通透,顶楼,精装,住宅,40,841.48,856.81,56528.0,19,1.0,66.0
HZ009430,杭州,滨江区,金地小区10号,2室1厅,174.22,196.93,,,顶楼,精装,住宅,70,774.41,834.95,44450.0,24,5.0,103.0
HZ009431,杭州,滨江区,万科小区71号,5室2厅,60.46,72.74,2005.0,东南,中楼层,毛坯,公寓,70,288.56,,47727.0,4,3.0,161.0
HZ009432,杭州,拱墅区,万科小区70号,5室2厅,,75.83,2005.0,西南,顶楼,精装,洋房,70,299.28,318.35,47527.0,14,4.0,104.0
HZ009433,杭州,富阳区,保利小区61号,5室2厅,96.58,115.07,2015.0,东南,顶楼,简装,公寓,70,164.65,173.8,17048.0,21,7.0,90.0
HZ009434,杭州,富阳区,金地小区23号,4室2厅,58.74,69.41,2018.0,东南,低楼层,简装,洋房,40,108.33,110.11,18442.0,10,0.0,64.0
HZ009435,杭州,建德市,保利小区30号,3室2厅,88.94,109.6,2014.0,东南,顶楼,豪装,洋房,70,89.27,91.33,10037.0,39,,86.0
HZ009436,杭州,建德市,金地小区81号,2室1厅,134.02,160.84,1999.0,东南,顶楼,简装,别墅,40,128.04,137.36,9554.0,13,5.0,140.0
HZ009437,杭州,拱墅区,绿城小区20号,2室2厅,160.43,184.97,1994.0,南,低楼层,毛坯,住宅,70,766.09,816.58,47752.0,25,1.0,122.0
HZ009438,杭州,富阳区,保利小区31号,3室2厅,79.71,97.07,1996.0,南,顶楼,简装,住宅,40,147.55,149.5,18511.0,19,7.0,167.0
HZ009439,杭州,余杭区,绿城小区93号,3室2厅,76.51,86.62,1996.0,东,低楼层,豪装,别墅,70,206.35,215.78,26970.0,10,7.0,96.0
HZ009440,杭州,钱塘区,金地小区99号,1室1厅,155.2,178.74,2004.0,北,低楼层,豪装,公寓,40,314.33,329.88,20253.0,17,4.0,165.0
HZ009441,杭州,临安区,万科小区90号,1室1厅,92.2,112.2,2002.0,西,顶楼,简装,洋房,70,134.31,140.86,14567.0,35,,46.0
HZ009442,杭州,建德市,万科小区70号,2室1厅,161.32,200.91,1999.0,南,中楼层,豪装,洋房,40,177.13,,10980.0,21,4.0,139.0
HZ009443,杭州,建德市,绿城小区26号,3室2厅,188.95,233.65,2003.0,南,高楼层,毛坯,别墅,40,198.14,202.06,10486.0,4,3.0,89.0
HZ009444,杭州,滨江区,绿城小区97号,5室2厅,,214.06,2000.0,,中楼层,简装,洋房,40,832.87,870.13,44589.0,29,3.0,172.0
HZ009445,杭州,拱墅区,金地小区40号,2室1厅,136.7,167.76,1994.0,西南,顶楼,精装,洋房,40,653.72,673.1,47822.0,37,1.0,21.0
HZ009446,杭州,拱墅区,华润小区10号,2室2厅,91.28,107.86,2018.0,西,低楼层,精装,洋房,70,443.51,449.78,48588.0,23,,99.0
HZ009447,杭州,富阳区,金地小区44号,5室2厅,42.35,49.38,2004.0,西,低楼层,毛坯,洋房,70,58.55,,13825.0,28,3.0,83.0
HZ009448,杭州,上城区,金地小区34号,5室2厅,148.61,174.89,1997.0,南北通透,低楼层,简装,公寓,70,826.72,884.15,55630.0,15,6.0,176.0
HZ009449,杭州,淳安县,华润小区80号,1室1厅,186.52,224.82,1999.0,北,顶楼,毛坯,公寓,70,202.28,211.26,10845.0,25,3.0,175.0
HZ009450,杭州,临平区,绿城小区17号,3室2厅,42.74,50.04,2002.0,东南,高楼层,简装,洋房,40,84.85,85.76,19853.0,36,7.0,5.0
HZ009451,杭州,桐庐县,华润小区37号,2室2厅,32.97,36.58,1998.0,南北通透,高楼层,豪装,洋房,70,39.66,42.29,12029.0,18,7.0,148.0
HZ009452,杭州,西湖区,金地小区95号,3室2厅,163.42,180.87,2006.0,南北通透,低楼层,毛坯,洋房,70,847.28,879.39,51847.0,27,1.0,48.0
HZ009453,杭州,西湖区,华润小区34号,2室2厅,48.16,56.42,,南,低楼层,豪装,洋房,70,245.4,256.46,50955.0,2,,
HZ009454,杭州,拱墅区,金地小区47号,4室2厅,44.9,52.37,2004.0,西南,低楼层,豪装,住宅,70,223.91,228.96,49869.0,9,0.0,54.0
HZ009455,杭州,临安区,保利小区27号,2室2厅,175.83,214.63,,东南,高楼层,精装,洋房,40,268.82,279.01,15289.0,29,7.0,101.0
HZ009456,杭州,余杭区,华润小区85号,4室2厅,44.57,50.52,2003.0,西南,高楼层,豪装,洋房,40,129.79,132.28,29120.0,17,5.0,49.0
HZ009457,杭州,建德市,华润小区84号,1室1厅,50.01,59.39,1996.0,南北通透,低楼层,精装,公寓,70,50.2,51.93,10038.0,5,,106.0
HZ009458,杭州,临安区,保利小区44号,4室2厅,121.99,145.6,1990.0,北,高楼层,精装,公寓,70,184.98,198.76,15164.0,9,,102.0
HZ009459,杭州,拱墅区,绿城小区88号,2室1厅,151.58,170.79,2016.0,南,顶楼,精装,别墅,40,737.87,750.72,48679.0,27,1.0,21.0
HZ009460,杭州,临安区,万科小区63号,5室2厅,95.13,107.21,2000.0,,中楼层,豪装,公寓,70,135.62,137.45,14256.0,27,3.0,43.0
HZ009461,杭州,滨江区,保利小区92号,2室2厅,98.45,119.06,2008.0,西,高楼层,精装,洋房,70,436.87,453.46,44375.0,26,1.0,44.0
HZ009462,杭州,临安区,金地小区73号,1室1厅,131.95,149.66,2013.0,东南,高楼层,毛坯,住宅,70,204.53,,15501.0,20,3.0,112.0
HZ009463,杭州,富阳区,万科小区24号,5室2厅,111.86,127.16,2018.0,东南,顶楼,豪装,住宅,40,204.58,215.41,18289.0,26,1.0,154.0
HZ009464,杭州,富阳区,华润小区85号,3室2厅,34.94,39.74,1996.0,东,中楼层,精装,公寓,40,59.44,,17012.0,31,,152.0
HZ009465,杭州,余杭区,绿城小区42号,2室2厅,49.95,60.05,2012.0,,顶楼,毛坯,住宅,40,142.57,150.39,28543.0,29,3.0,173.0
HZ009466,杭州,建德市,绿城小区83号,2室2厅,123.89,148.58,2002.0,西,顶楼,豪装,公寓,40,117.09,,9451.0,23,,102.0
HZ009467,杭州,滨江区,绿城小区92号,4室2厅,157.4,195.72,2023.0,西南,顶楼,毛坯,住宅,40,710.72,745.48,45154.0,23,6.0,110.0
HZ009468,杭州,临平区,金地小区25号,4室2厅,152.57,178.56,1992.0,西,高楼层,豪装,住宅,70,331.58,345.18,21733.0,4,7.0,80.0
HZ009469,杭州,上城区,绿城小区26号,2室2厅,148.93,168.62,1990.0,东南,低楼层,毛坯,住宅,70,843.19,891.69,56617.0,39,7.0,
HZ009470,杭州,淳安县,万科小区39号,2室2厅,153.86,179.06,1992.0,东南,高楼层,毛坯,公寓,40,171.15,182.22,11124.0,36,4.0,147.0
HZ009471,杭州,滨江区,绿城小区15号,2室1厅,39.02,45.98,2002.0,东南,中楼层,简装,洋房,70,175.68,181.2,45023.0,10,5.0,58.0
HZ009472,杭州,萧山区,万科小区97号,3室2厅,173.43,195.86,2015.0,西南,顶楼,精装,住宅,70,553.27,573.42,31902.0,6,3.0,10.0
HZ009473,杭州,钱塘区,华润小区27号,2室1厅,172.51,209.64,2007.0,东南,顶楼,毛坯,别墅,40,346.86,358.58,20107.0,1,1.0,
HZ009474,杭州,淳安县,绿城小区45号,2室1厅,,129.32,2018.0,东南,高楼层,豪装,公寓,70,132.78,137.96,11443.0,22,5.0,157.0
HZ009475,杭州,拱墅区,万科小区83号,3室2厅,71.28,78.69,2023.0,西,高楼层,毛坯,洋房,40,340.49,352.16,47768.0,4,3.0,123.0
HZ009476,杭州,淳安县,万科小区93号,1室1厅,125.56,141.25,2002.0,东,低楼层,简装,洋房,40,149.95,,11942.0,17,,49.0
HZ009477,杭州,萧山区,绿城小区24号,3室2厅,120.15,132.78,1996.0,南,高楼层,简装,别墅,70,383.54,408.03,31922.0,1,,90.0
HZ009478,杭州,余杭区,万科小区62号,1室1厅,67.23,75.11,1992.0,东,中楼层,简装,住宅,40,191.55,203.05,28492.0,39,1.0,167.0
HZ009479,杭州,萧山区,万科小区53号,2室2厅,127.29,141.54,2016.0,西南,中楼层,豪装,住宅,70,409.4,428.87,32163.0,33,3.0,148.0
HZ009480,杭州,建德市,绿城小区67号,5室2厅,157.97,190.14,2012.0,南,中楼层,毛坯,公寓,70,143.88,153.38,9108.0,2,4.0,166.0
HZ009481,杭州,富阳区,绿城小区28号,2室1厅,159.36,192.65,2011.0,东,中楼层,毛坯,公寓,70,293.05,302.08,18389.0,8,7.0,89.0
HZ009482,杭州,临安区,万科小区57号,2室2厅,41.43,47.6,1990.0,南北通透,高楼层,,公寓,70,76.38,77.53,18436.0,6,4.0,95.0
HZ009483,杭州,上城区,保利小区62号,2室1厅,63.15,71.34,2000.0,南,顶楼,毛坯,住宅,70,356.08,360.56,56386.0,36,7.0,167.0
HZ009484,杭州,西湖区,华润小区94号,4室2厅,137.58,167.19,1993.0,北,中楼层,豪装,公寓,70,717.74,763.48,52169.0,37,5.0,
HZ009485,杭州,拱墅区,金地小区97号,2室1厅,167.85,188.62,2000.0,南,顶楼,,住宅,40,807.26,840.92,48094.0,16,1.0,14.0
HZ009486,杭州,淳安县,保利小区66号,2室1厅,114.35,132.48,,西,顶楼,豪装,别墅,70,119.72,128.74,10470.0,3,1.0,6.0
HZ009487,杭州,建德市,绿城小区91号,2室1厅,143.79,170.47,2007.0,南北通透,低楼层,精装,公寓,70,144.05,153.84,10018.0,29,4.0,32.0
HZ009488,杭州,西湖区,绿城小区36号,1室1厅,35.33,41.79,2015.0,,顶楼,精装,别墅,40,185.0,199.4,52363.0,6,6.0,105.0
HZ009489,杭州,临安区,华润小区55号,4室2厅,128.13,149.18,1993.0,东,高楼层,毛坯,住宅,70,197.01,205.2,15376.0,9,5.0,49.0
HZ009490,杭州,富阳区,绿城小区95号,1室1厅,183.98,217.65,2007.0,东南,中楼层,精装,公寓,40,333.67,,18136.0,4,6.0,71.0
